Dataset,Algorithm,k,ef,IS_MB,NMCS,IT_s,Recall,Pruning
mnist,DAP_k10_th6504088.000,100,200,27.7736,1070.88,3.50965,0.9934,0.502867
mnist,DAP_k20_th8454487.000,100,200,27.7738,1072.41,3.23798,0.9929,0.499995
mnist,DAP_k50_th4232707.000,50,200,27.7681,1068.04,3.60507,0.9978,0.501236
mnist,DAP_k100_th5006636.000,100,200,27.7668,1069.28,3.68359,0.9945,0.504424
mnist,DAP_k10_th5695422.000,100,200,27.7722,1070.54,3.75685,0.9945,0.499421
mnist,DAP_k20_th3659168.000,100,200,27.7632,1068.67,3.78452,0.9931,0.501773
mnist,DAP_k50_th7065762.000,50,200,27.7671,1069.93,3.60019,0.998,0.5015
mnist,DAP_k100_th5802515.000,100,200,27.778,1072.17,3.71426,0.9936,0.500247
mnist,DAP_k10_th6109670.000,100,200,27.7567,1070.91,3.80767,0.9933,0.501023
mnist,DAP_k20_th8938001.000,100,200,27.7722,1069.39,3.86487,0.9934,0.501052
mnist,DAP_k50_th3452162.000,50,200,27.7728,1070.51,3.7979,0.9984,0.498996
mnist,DAP_k100_th7023451.000,100,200,27.7777,1071.93,4.00049,0.9941,0.501171
mnist,DAP_k10_th3964603.000,100,200,27.7711,1071.62,3.79259,0.9931,0.498414
mnist,DAP_k20_th3805435.000,100,200,27.7854,1068.39,3.7958,0.9937,0.505995
mnist,DAP_k50_th6776736.000,50,200,27.7769,1070.82,3.77287,0.998,0.498674
mnist,DAP_k100_th5849197.000,100,200,27.7712,1071.72,3.89452,0.9937,0.501745
mnist,DAP_k10_th6731259.000,100,200,27.7741,1066.57,3.99234,0.9928,0.505199
mnist,DAP_k20_th4370471.000,100,200,27.7682,1070.86,4.172,0.9936,0.504053
mnist,DAP_k50_th7768297.000,50,200,27.7653,1070.51,4.37716,0.998,0.503171
mnist,DAP_k100_th6261503.000,100,200,27.7742,1070.09,4.40339,0.9934,0.500565
mnist,DAP_k10_th7109014.000,100,200,27.7676,1069.67,4.8699,0.9939,0.503352
mnist,DAP_k20_th6186639.000,100,200,27.7787,1071.64,4.51586,0.9936,0.50084
mnist,DAP_k50_th7676351.000,50,200,27.7732,1069.98,4.50307,0.9982,0.50328
mnist,DAP_k100_th6544799.000,100,200,27.7855,1070.46,4.56684,0.9925,0.501504
mnist,DAP_k10_th4605986.000,100,200,27.774,1068.25,4.58477,0.9942,0.505266
mnist,DAP_k20_th760802.000,100,200,27.7731,1070.38,4.60248,0.9931,0.502065
mnist,DAP_k50_th958392.000,50,200,27.7726,1071.4,4.58921,0.9988,0.497107
mnist,DAP_k100_th6253923.000,100,200,27.7683,1068.31,4.61083,0.994,0.504339
mnist,DAP_k10_th2440167.000,100,200,27.7753,1071.8,4.55953,0.9931,0.503545
mnist,DAP_k20_th7331968.000,100,200,27.7776,1071.34,4.79494,0.9934,0.501568
mnist,DAP_k50_th1520193.000,50,200,27.7663,1067.56,4.59469,0.9984,0.505424
mnist,DAP_k100_th4085466.000,100,200,27.775,1069.89,4.63881,0.9933,0.501108
